City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Mackenzie,CA,2021-10-06 20:31:05,55.2999,-123.1698,35.82,87,90,0.0
105,Waddan,LY,2021-10-06 20:31:06,29.1614,16.139,74.17,31,0,7.31
106,Ixtapa,MX,2021-10-06 20:31:06,20.7,-105.2,89.22,66,20,6.91
107,Alpena,US,2021-10-06 20:31:07,45.0617,-83.4327,66.34,88,90,5.99
108,Holeby,DK,2021-10-06 20:31:07,54.7115,11.4642,52.05,94,18,7.76
109,Kaitangata,NZ,2021-10-06 20:31:07,-46.2817,169.8464,55.76,73,100,1.79
110,Atuona,PF,2021-10-06 20:31:08,-9.8,-139.0333,78.57,78,17,22.37
111,Kahului,US,2021-10-06 20:31:08,20.8947,-156.47,84.22,67,40,20.71
112,Ercis,TR,2021-10-06 20:31:08,39.0287,43.3586,44.2,58,0,5.93
113,Bredasdorp,ZA,2021-10-06 20:31:09,-34.5322,20.0403,61.29,94,19,11.77
114,Yantal,RU,2021-10-06 20:31:09,56.8471,105.2542,26.08,84,69,4.54
115,Ravar,IR,2021-10-06 20:31:10,31.2656,56.8055,73.54,15,0,1.59
116,San Andres,CO,2021-10-06 20:30:16,12.5847,-81.7006,84.22,84,40,6.91
117,Vila Velha,BR,2021-10-06 20:31:10,-20.3297,-40.2925,75.15,83,40,8.05
118,Hofn,IS,2021-10-06 20:31:11,64.2539,-15.2082,41.43,78,100,17.4
119,Uruzgan,AF,2021-10-06 20:31:11,32.8333,66.0,57.83,18,0,1.52
120,Rabo De Peixe,PT,2021-10-06 20:31:11,37.8,-25.5833,72.91,94,75,9.22
121,Shu,KZ,2021-10-06 20:31:11,43.5983,73.7614,38.39,42,91,9.13
122,Bodden Town,KY,2021-10-06 20:29:31,19.2833,-81.25,86.0,77,20,5.01
123,Tiksi,RU,2021-10-06 20:31:12,71.6872,128.8694,24.73,94,100,6.02
124,Codrington,AU,2021-10-06 20:31:12,-38.2667,141.9667,46.15,80,32,8.59
125,Popondetta,PG,2021-10-06 20:31:13,-8.7537,148.2534,74.95,94,98,1.86
126,Provideniya,RU,2021-10-06 20:31:13,64.3833,-173.3,37.51,87,90,11.18
127,Qunduz,AF,2021-10-06 20:31:13,36.729,68.857,60.96,26,0,1.86
128,Dire,ML,2021-10-06 20:31:14,12.2833,-10.9667,76.14,87,89,1.97
