City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
105,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,75,23.02,broken clouds
106,Tomatlan,MX,19.9333,-105.25,85.15,70,86,5.66,overcast clouds
107,Nyrob,RU,60.733,56.7202,41.41,83,100,9.48,overcast clouds
108,Farafangana,MG,-22.8167,47.8333,70.07,91,15,8.93,few clouds
109,Port Hardy,CA,50.6996,-127.4199,48.38,100,90,4.61,light rain
110,Rotifunk,SL,8.2333,-12.6833,74.97,94,67,1.99,light rain
111,Akyab,MM,20.15,92.9,77.59,89,100,8.63,overcast clouds
112,Bethel,US,41.3712,-73.414,73.49,77,1,11.5,clear sky
113,Meulaboh,ID,4.1363,96.1285,77.65,85,100,5.26,overcast clouds
114,Bati,ET,11.1833,40.0167,66.18,35,10,7.27,clear sky
115,Aksu,CN,41.1231,80.2644,48.45,23,41,2.3,scattered clouds
116,Tanggu,CN,39.0211,117.6469,40.96,37,0,9.01,clear sky
117,Agirish,RU,61.9247,63.0231,41.43,74,98,7.7,overcast clouds
118,Nanakuli,US,21.3906,-158.1547,82.35,61,75,6.91,broken clouds
119,Yellowknife,CA,62.456,-114.3525,38.28,100,90,10.36,mist
120,Anadyr,RU,64.75,177.4833,25.3,73,75,5.99,broken clouds
121,Kavaratti,IN,10.5669,72.642,81.55,80,100,18.32,overcast clouds
122,Shanghai,CN,31.2222,121.4581,59.94,64,0,15.66,light rain
123,Provideniya,RU,64.3833,-173.3,29.88,85,100,24.65,light snow
124,Mpika,ZM,-11.8343,31.4529,69.39,50,75,1.01,broken clouds
125,Adana,TR,36.985,35.2881,72.12,83,40,3.44,scattered clouds
126,Ukiah,US,39.1502,-123.2078,87.53,13,1,9.22,clear sky
127,Progreso,MX,21.2833,-89.6667,89.11,68,40,12.5,scattered clouds
128,Deputatskiy,RU,69.3,139.9,-9.2,100,100,1.95,overcast clouds
129,Hithadhoo,MV,-0.6,73.0833,82.53,72,100,18.23,overcast clouds
130,Narsaq,GL,60.9167,-46.05,44.82,63,54,6.96,broken clouds
131,Nikolskoye,RU,59.7035,30.7861,43.88,77,99,11.77,overcast clouds
132,Creel,MX,27.75,-107.6333,65.46,45,93,10.4,overcast clouds
133,Grindavik,IS,63.8424,-22.4338,37.87,93,90,9.22,overcast clouds
134,Thompson,CA,55.7435,-97.8558,46.56,66,20,11.5,few clouds
